date,name,tmdbId,entityType,nodePosition
2025-08-15,Mila Kunis,18973,actor,left
2025-08-15,Emilia Clarke,1223786,actor,right
2025-08-16,Sean Penn,2228,actor,left
2025-08-16,Wonder Woman,297762,movie,right
2025-08-17,Fast & Furious 6,82992,movie,left
2025-08-17,Kirsten Dunst,205,actor,right
2025-08-18,Mad Max: Fury Road,76341,movie,left
2025-08-18,Anya Taylor-Joy,1397778,actor,right
2025-08-19,Transformers: Age of Extinction,91314,movie,left
2025-08-19,Mel Gibson,2461,actor,right
2025-08-20,The Lego Movie,137106,movie,left
2025-08-20,Andrew Garfield,37625,actor,right
2025-08-21,Diego Luna,8688,actor,left
2025-08-21,Star Wars,11,movie,right
2025-08-22,Colin Farrell,72466,actor,left
2025-08-22,Morgan Freeman,192,actor,right
2025-08-23,Sean Bean,48,actor,left
2025-08-23,Gravity,49047,movie,right
2025-08-24,Kristen Stewart,37917,actor,left
2025-08-24,Florence Pugh,1373737,actor,right
2025-08-25,Robin Williams,2157,actor,left
2025-08-25,Black Panther,284054,movie,right
2025-08-26,The Hunger Games: Catching Fire,101299,movie,left
2025-08-26,Tom Holland,1136406,actor,right
2025-08-27,Scarlett Johansson,1245,actor,left
2025-08-27,Star Wars: The Last Jedi,181808,movie,right
2025-08-28,Sydney Sweeney,115440,actor,left
2025-08-28,Charlie and the Chocolate Factory,118,movie,right
2025-08-29,Nicolas Cage,2963,actor,left
2025-08-29,The Meg,345940,movie,right
2025-08-30,Reese Witherspoon,368,actor,left
2025-08-30,A Star Is Born,332562,movie,right
2025-08-31,Zoe Saldaña,8691,actor,left
2025-08-31,Leonardo DiCaprio,6193,actor,right
2025-09-01,Theo James,587020,actor,left
2025-09-01,Kevin Bacon,4724,actor,right
2025-09-02,Margot Robbie,234352,actor,left
2025-09-02,Jurassic World: Fallen Kingdom,351286,movie,right
2025-09-03,Alexandra Daddario,109513,actor,left
2025-09-03,Ben Affleck,880,actor,right
2025-09-04,Ice Age: Dawn of the Dinosaurs,8355,movie,left
2025-09-04,Emma Roberts,34847,actor,right
2025-09-05,Lisa Ann Walter,4494,actor,left
2025-09-05,Jennifer Lopez,16866,actor,right
2025-09-06,Meryl Streep,5064,actor,left
2025-09-06,Dolph Lundgren,16644,actor,right
2025-09-07,Minions,211672,movie,left
2025-09-07,Jessica Biel,10860,actor,right
2025-09-08,Kevin Hart,55638,actor,left
2025-09-08,Rachel McAdams,53714,actor,right
2025-09-09,Willem Dafoe,5293,actor,left
2025-09-09,James McAvoy,5530,actor,right
2025-09-10,Oscar Isaac,25072,actor,left
2025-09-10,Chloë Grace Moretz,56734,actor,right
2025-09-11,Nicole Kidman,2227,actor,left
2025-09-11,Avengers: Infinity War,299536,movie,right
2025-09-12,The Dark Knight,155,movie,left
2025-09-12,Harry Potter and the Half-Blood Prince,767,movie,right
2025-09-13,Tom Selleck,15112,actor,left
2025-09-13,John Travolta,8891,actor,right
2025-09-14,Star Wars: Episode I - The Phantom Menace,1893,movie,left
2025-09-14,Jason Momoa,117642,actor,right
2025-09-15,Michelle Monaghan,11705,actor,left
2025-09-15,Brad Pitt,287,actor,right
2025-09-16,Jennifer Love Hewitt,33259,actor,left
2025-09-16,Zendaya,505710,actor,right
2025-09-17,Eddie Murphy,776,actor,left
2025-09-17,Jon Hamm,65717,actor,right
2025-09-18,Keanu Reeves,6384,actor,left
2025-09-18,Tobey Maguire,2219,actor,right
2025-09-19,Transformers,1858,movie,left
2025-09-19,Oppenheimer,872585,movie,right
2025-09-20,Sebastian Stan,60898,actor,left
2025-09-20,Gene Hackman,193,actor,right
2025-09-21,Michael Keaton,2232,actor,left
2025-09-21,Cars,920,movie,right
2025-09-22,Jodie Foster,1038,actor,left
2025-09-22,John Goodman,1230,actor,right
2025-09-23,Shrek 2,809,movie,left
2025-09-23,Pierce Brosnan,517,actor,right
2025-09-24,Jean-Claude Van Damme,15111,actor,left
2025-09-24,Julia Roberts,1204,actor,right
2025-09-25,Jake Gyllenhaal,131,actor,left
2025-09-25,Vera Farmiga,21657,actor,right
2025-09-26,Quantum of Solace,10764,movie,left
2025-09-26,Mads Mikkelsen,1019,actor,right
2025-09-27,Emma Stone,54693,actor,left
2025-09-27,Elizabeth Olsen,550843,actor,right
2025-09-28,Charlize Theron,6885,actor,left
2025-09-28,Tom Hardy,2524,actor,right
2025-09-29,Jim Carrey,206,actor,left
2025-09-29,Chris Pratt,73457,actor,right
2025-09-30,James Marsden,11006,actor,left
2025-09-30,Harrison Ford,3,actor,right
2025-10-01,Logan,263115,movie,left
2025-10-01,Sean Connery,738,actor,right
2025-10-02,Aquaman and the Lost Kingdom,572802,movie,left
2025-10-02,Russell Crowe,934,actor,right
2025-10-03,Vin Diesel,12835,actor,left
2025-10-03,Drew Barrymore,69597,actor,right
2025-10-04,Rami Malek,17838,actor,left
2025-10-04,Amber Heard,55085,actor,right
2025-10-05,Les Misérables,82695,movie,left
2025-10-05,Brie Larson,60073,actor,right
2025-10-06,Die Another Day,36669,movie,left
2025-10-06,Owen Wilson,887,actor,right
